"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Tyler Webb","Cardinals",".184","1.05","19.9%","41.1%","39.0%","12.3%","12.3%","25","4.09","335","554","889","38.5%","37.2%","24.3%","16.9%","45.3%","37.8%","14974"
"Lance Lynn","Rangers",".322","1.05","21.4%","40.3%","38.3%","10.3%","9.9%","134","5.79","1275","2278","3553","38.4%","34.0%","27.6%","15.7%","45.4%","39.0%","2520"
"Tyler Skaggs","Angels",".294","1.05","27.7%","37.1%","35.3%","13.9%","11.4%","37","4.18","507","879","1386","41.4%","35.2%","23.4%","18.5%","39.2%","42.3%","10190"
"Josh Lucas","Orioles",".273","1.05","10.9%","45.7%","43.5%","10.0%","10.0%","6","3.45","108","165","273","45.7%","37.0%","17.4%","13.0%","58.7%","28.3%","11686"
"Sam Howard","Rockies",".320","1.05","22.6%","39.6%","37.7%","10.0%","25.0%","7","3.32","150","233","383","38.2%","32.7%","29.1%","16.4%","41.8%","41.8%","16265"
"Austin Adams","- - -",".286","1.05","18.9%","41.5%","39.6%","14.3%","19.0%","6","3.24","135","183","318","34.0%","41.5%","24.5%","18.9%","43.4%","37.7%","7411"
"Caleb Ferguson","Dodgers",".291","1.05","24.6%","38.6%","36.8%","9.5%","16.7%","18","3.63","297","527","824","28.2%","41.0%","30.8%","18.8%","40.2%","41.0%","19349"
"Eric Lauer","Padres",".316","1.05","22.0%","39.9%","38.1%","11.7%","11.7%","81","4.87","876","1634","2510","38.1%","37.2%","24.7%","17.5%","40.9%","41.6%","19316"
"Jay Jackson","Brewers",".271","1.04","26.6%","37.5%","35.9%","8.7%","26.1%","10","2.97","212","348","560","40.0%","43.1%","16.9%","15.4%","47.7%","36.9%","7432"
"Seunghwan Oh","Rockies",".383","1.04","25.8%","37.9%","36.4%","4.2%","25.0%","8","3.93","119","254","373","40.9%","33.3%","25.8%","13.6%","42.4%","43.9%","18719"
"Tyler Duffey","Twins",".275","1.04","25.4%","38.1%","36.6%","12.2%","16.3%","26","4.06","335","645","980","39.1%","39.9%","21.0%","15.9%","40.6%","43.5%","13758"
"Zac Gallen","- - -",".284","1.04","23.7%","38.9%","37.4%","2.7%","10.8%","30","3.38","492","895","1387","40.9%","29.3%","29.8%","20.2%","39.9%","39.9%","19291"
"Kyle Crick","Pirates",".274","1.04","14.3%","43.7%","42.0%","6.0%","20.0%","31","5.69","351","583","934","31.7%","35.0%","33.3%","22.8%","47.2%","30.1%","13182"
"Corbin Martin","Astros",".283","1.04","16.4%","42.6%","41.0%","12.0%","32.0%","22","10.24","160","212","372","34.4%","26.2%","39.3%","16.4%","47.5%","36.1%","19884"
"Pat Neshek","Phillies",".286","1.04","17.9%","41.8%","40.3%","7.4%","18.5%","3","1.50","85","196","281","35.3%","32.4%","32.4%","17.7%","47.1%","35.3%","4682"
"Blake Parker","- - -",".263","1.03","24.7%","38.3%","37.0%","13.3%","21.7%","24","3.52","389","631","1020","40.6%","35.2%","24.2%","16.4%","38.8%","44.9%","5224"
"Ryne Harper","Twins",".299","1.03","24.2%","38.5%","37.3%","16.7%","11.7%","53","8.78","271","597","868","50.3%","28.8%","20.9%","17.8%","38.0%","44.2%","12680"
"Jack Flaherty","Cardinals",".242","1.03","22.2%","39.5%","38.3%","12.7%","13.8%","92","4.22","1130","2049","3179","39.5%","33.2%","27.4%","23.6%","38.8%","37.6%","17479"
"Dillon Peters","Angels",".300","1.03","21.8%","39.7%","38.5%","5.4%","19.6%","51","6.38","461","813","1274","37.8%","39.0%","23.2%","16.2%","39.0%","44.8%","18790"
"Michel Baez","Padres",".265","1.03","23.5%","38.8%","37.6%","15.6%","9.4%","9","2.73","198","323","521","37.2%","32.6%","30.2%","22.1%","39.5%","38.4%","20100"
"Drew Pomeranz","- - -",".337","1.03","23.1%","39.0%","37.9%","8.0%","21.0%","50","4.33","708","1248","1956","31.9%","35.9%","32.2%","14.1%","48.2%","37.8%","11426"
"Mike Fiers","Athletics",".254","1.03","21.3%","39.9%","38.8%","13.8%","13.8%","114","5.56","1009","1890","2899","43.8%","30.4%","25.8%","17.0%","44.0%","39.1%","7754"
"J.A. Happ","Yankees",".280","1.03","21.5%","39.8%","38.8%","10.2%","18.3%","96","5.36","1005","1691","2696","35.7%","40.9%","23.4%","18.3%","41.7%","40.0%","7410"
"Gerrit Cole","Astros",".275","1.02","20.4%","40.3%","39.4%","11.0%","16.9%","177","7.50","1108","2254","3362","37.3%","34.3%","28.4%","19.3%","46.8%","33.9%","13125"
"Wade LeBlanc","Mariners",".308","1.02","20.7%","40.0%","39.3%","10.7%","17.6%","74","5.49","683","1272","1955","45.1%","30.9%","24.0%","13.5%","51.5%","35.1%","5221"
"Brian Johnson","Red Sox",".353","1.02","16.9%","41.9%","41.2%","5.4%","10.7%","33","7.36","314","458","772","48.2%","34.5%","17.3%","14.4%","43.2%","42.5%","14272"
"Zach Plesac","Indians",".255","1.02","22.4%","39.1%","38.5%","9.9%","14.5%","77","5.99","668","1224","1892","38.1%","31.4%","30.5%","16.3%","45.6%","38.1%","19979"
"Collin McHugh","Astros",".263","1.01","24.5%","38.0%","37.5%","6.7%","16.0%","43","5.18","477","817","1294","38.3%","34.3%","27.4%","15.4%","46.3%","38.3%","7531"
"Derek Holland","- - -",".276","1.01","19.4%","40.5%","40.1%","7.4%","21.1%","31","3.31","553","934","1487","42.0%","35.9%","22.0%","15.1%","41.2%","43.7%","4141"
"Dario Agrazal","Pirates",".283","1.01","20.6%","39.9%","39.5%","7.1%","15.3%","51","6.26","406","743","1149","41.3%","32.5%","26.2%","18.3%","49.6%","32.1%","15821"
"Tommy Hunter","Phillies",".154","1.00","38.5%","30.8%","30.8%","0.0%","0.0%","2","3.38","24","48","72","15.4%","46.2%","38.5%","23.1%","46.2%","30.8%","1157"
"Jeff Mathis","Rangers",".286","1.00","25.0%","37.5%","37.5%","0.0%","33.3%","1","4.50","8","19","27","62.5%","25.0%","12.5%","0.0%","50.0%","50.0%","3448"
"Russell Martin","Dodgers",".182","1.00","9.1%","45.5%","45.5%","20.0%","0.0%","0","0.00","13","32","45","72.7%","27.3%","0.0%","9.1%","63.6%","27.3%","4616"
"Pablo Sandoval","Giants",".000","1.00","0.0%","50.0%","50.0%","0.0%","0.0%","0","0.00","3","7","10","50.0%","50.0%","0.0%","0.0%","50.0%","50.0%","5409"
"Hernan Perez","Brewers",".143","1.00","0.0%","50.0%","50.0%","0.0%","25.0%","8","24.00","21","22","43","37.5%","12.5%","50.0%","25.0%","25.0%","50.0%","5751"
"Ian Kinsler","Padres",".333","1.00","66.7%","33.3%","0.0%","0.0%","0.0%","2","18.00","12","15","27","100.0%","0.0%","0.0%","0.0%","33.3%","66.7%","6195"
"Sean Rodriguez","Phillies",".000","1.00","33.3%","33.3%","33.3%","0.0%","0.0%","2","13.50","2","9","11","33.3%","0.0%","66.7%","0.0%","33.3%","66.7%","6589"
"JB Shuck","Pirates",".250","1.00","0.0%","50.0%","50.0%","0.0%","0.0%","0","0.00","6","7","13","75.0%","0.0%","25.0%","50.0%","25.0%","25.0%","6677"
"Ian Desmond","Rockies",".250","1.00","50.0%","25.0%","25.0%","100.0%","0.0%","2","18.00","5","10","15","25.0%","0.0%","75.0%","25.0%","50.0%","25.0%","6885"
"Wade Davis","Rockies",".349","1.00","23.3%","38.3%","38.3%","11.8%","13.7%","5","1.05","346","493","839","40.6%","31.6%","27.8%","15.8%","44.4%","39.9%","7441"
"Steven Wright","Red Sox",".400","1.00","30.4%","34.8%","34.8%","12.5%","37.5%","3","4.26","54","78","132","56.5%","26.1%","17.4%","17.4%","34.8%","47.8%","8185"
"Ehire Adrianza","Twins",".714","1.00","42.9%","28.6%","28.6%","0.0%","0.0%","0","0.00","7","14","21","71.4%","14.3%","14.3%","0.0%","28.6%","71.4%","8418"
"Gerardo Parra","Nationals","1.000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0","0.00","17","8","25","100.0%","0.0%","0.0%","0.0%","0.0%","100.0%","8553"
"Brian Moran","Marlins",".357","1.00","23.1%","38.5%","38.5%","0.0%","20.0%","4","5.68","42","70","112","46.7%","13.3%","40.0%","6.7%","46.7%","46.7%","9646"
"Mike Minor","Rangers",".287","1.00","19.9%","40.0%","40.0%","12.9%","12.9%","114","4.92","1186","2172","3358","46.6%","33.0%","20.4%","18.9%","45.8%","35.4%","10021"
"Max Stassi","Astros",".000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0","0.00","2","3","5","0.0%","100.0%","0.0%","0.0%","0.0%","100.0%","10059"
"Brad Boxberger","Royals",".297","1.00","21.1%","39.5%","39.5%","6.7%","10.0%","12","4.05","185","302","487","45.5%","19.5%","35.1%","19.5%","49.4%","31.2%","10133"
"Aaron Altherr","Phillies",".667","1.00","33.3%","33.3%","33.3%","0.0%","0.0%","1","9.00","5","14","19","0.0%","66.7%","33.3%","0.0%","66.7%","33.3%","11270"
"Bryan Holaday","Marlins",".000","1.00","0.0%","100.0%","0.0%","0.0%","0.0%","0","0.00","0","1","1","100.0%","0.0%","0.0%","0.0%","100.0%","0.0%","11287"
"Robbie Ray","Diamondbacks",".305","1.00","25.9%","37.0%","37.0%","10.0%","20.0%","135","6.97","1144","1920","3064","42.9%","34.1%","23.0%","16.4%","40.3%","43.4%","11486"
"Adam Morgan","Phillies",".216","1.00","17.9%","41.0%","41.0%","15.6%","12.5%","24","7.28","153","310","463","37.2%","30.8%","32.1%","21.8%","44.9%","33.3%","12580"
"Jose Peraza","Reds",".250","1.00","0.0%","50.0%","50.0%","50.0%","0.0%","1","6.75","6","9","15","25.0%","25.0%","50.0%","25.0%","0.0%","75.0%","13593"
"Jose Rondon","White Sox",".400","1.00","20.0%","40.0%","40.0%","0.0%","0.0%","0","0.00","7","8","15","40.0%","40.0%","20.0%","0.0%","40.0%","60.0%","14140"
"Adam Conley","Marlins",".351","1.00","24.2%","37.9%","37.9%","8.3%","13.9%","19","2.82","382","679","1061","32.5%","38.1%","29.4%","14.7%","45.7%","39.6%","14457"
"Kyle Farmer","Reds",".200","1.00","20.0%","40.0%","40.0%","0.0%","0.0%","0","0.00","3","9","12","40.0%","60.0%","0.0%","0.0%","80.0%","20.0%","14813"
"Victor Caratini","Cubs",".143","1.00","25.0%","37.5%","37.5%","0.0%","33.3%","1","4.50","12","18","30","62.5%","37.5%","0.0%","25.0%","25.0%","50.0%","14968"
"Yacksel Rios","- - -",".316","1.00","26.8%","36.6%","36.6%","0.0%","26.7%","4","2.77","79","158","237","38.1%","31.0%","31.0%","23.8%","40.5%","35.7%","15007"
"Sean Manaea","Athletics",".194","1.00","17.6%","41.2%","41.2%","10.7%","10.7%","22","6.67","157","287","444","31.4%","50.0%","18.6%","11.4%","41.4%","47.1%","15873"
"Keury Mella","Reds",".417","1.00","33.3%","33.3%","33.3%","0.0%","0.0%","2","4.91","23","40","63","50.0%","16.7%","33.3%","16.7%","41.7%","41.7%","15964"
"Chris Ellis","Royals",".250","1.00","50.0%","25.0%","25.0%","100.0%","0.0%","0","0.00","9","8","17","75.0%","0.0%","25.0%","25.0%","25.0%","50.0%","16125"
"Austen Williams","Nationals","1.000","1.00","20.0%","40.0%","40.0%","0.0%","100.0%","0","0.00","12","17","29","40.0%","40.0%","20.0%","0.0%","40.0%","60.0%","16309"
"James Norwood","Cubs",".333","1.00","20.0%","40.0%","40.0%","0.0%","10.0%","2","1.93","90","116","206","40.0%","12.0%","48.0%","16.0%","44.0%","40.0%","16440"
"Reed Garrett","Tigers",".420","1.00","13.2%","43.4%","43.4%","0.0%","13.0%","3","1.76","139","180","319","39.6%","35.9%","24.5%","7.6%","39.6%","52.8%","16866"
"Sean Reid-Foley","Blue Jays",".298","1.00","15.2%","42.4%","42.4%","0.0%","11.9%","19","5.40","232","380","612","33.3%","45.5%","21.2%","14.1%","40.4%","45.5%","17034"
"Dinelson Lamet","Padres",".311","1.00","27.4%","36.3%","36.3%","11.5%","19.7%","37","4.56","439","794","1233","34.1%","38.2%","27.8%","19.1%","45.1%","35.8%","17186"
"Jose Rodriguez","Angels",".218","1.00","20.0%","40.0%","40.0%","16.7%","20.8%","7","3.20","117","212","329","45.0%","30.0%","25.0%","15.0%","53.3%","31.7%","17860"
"Miguel Diaz","Padres",".381","1.00","27.3%","36.4%","36.4%","12.5%","12.5%","1","1.42","37","65","102","36.4%","45.5%","18.2%","4.6%","68.2%","27.3%","18815"
"Pedro Avila","Padres",".267","1.00","20.0%","40.0%","40.0%","33.3%","0.0%","6","10.13","31","54","85","46.7%","33.3%","20.0%","20.0%","46.7%","33.3%","18864"
"Cole Irvin","Phillies",".299","1.00","31.3%","34.4%","34.4%","8.9%","15.6%","22","4.75","212","427","639","33.6%","44.0%","22.4%","17.2%","36.6%","46.3%","19244"
"Stephen Nogosek","Mets",".417","1.00","23.1%","38.5%","38.5%","10.0%","20.0%","2","2.70","55","86","141","30.8%","46.2%","23.1%","19.2%","42.3%","38.5%","19545"
"J. D. Hammer","Phillies",".241","1.00","17.9%","41.1%","41.1%","8.7%","8.7%","11","5.21","137","201","338","28.6%","41.1%","30.4%","12.5%","46.4%","41.1%","19548"
"Jesus Luzardo","Athletics",".160","1.00","15.4%","42.3%","42.3%","18.2%","9.1%","1","0.75","67","104","171","30.8%","38.5%","30.8%","23.1%","42.3%","34.6%","19959"
"Yennsy Diaz","Blue Jays",".333","1.00","33.3%","33.3%","33.3%","0.0%","0.0%","0","0.00","19","14","33","0.0%","66.7%","33.3%","33.3%","33.3%","33.3%","20218"
"Adrian Sampson","Rangers",".327","0.99","19.4%","40.2%","40.4%","10.8%","17.4%","63","4.52","730","1326","2056","42.9%","34.5%","22.5%","15.6%","36.5%","48.0%","13339"
"CC Sabathia","Yankees",".291","0.99","20.1%","39.8%","40.1%","11.9%","21.4%","61","5.11","624","1105","1729","46.5%","31.8%","21.7%","18.9%","43.4%","37.7%","404"
"Tanner Roark","- - -",".322","0.99","27.1%","36.2%","36.6%","9.4%","15.5%","108","5.88","1147","1845","2992","39.3%","34.1%","26.7%","15.2%","47.9%","36.9%","8753"
"Julio Urias","Dodgers",".257","0.99","22.1%","38.7%","39.2%","15.0%","8.8%","48","5.42","479","865","1344","34.9%","36.8%","28.2%","23.4%","41.2%","35.4%","14765"
"Roberto Osuna","Astros",".234","0.98","21.8%","38.8%","39.4%","13.8%","12.3%","6","0.83","319","642","961","38.6%","35.5%","25.9%","20.5%","43.4%","36.1%","13764"
"Nick Wittgren","Indians",".253","0.98","23.2%","38.1%","38.7%","10.0%","16.7%","46","7.18","337","638","975","25.6%","43.6%","30.8%","11.5%","39.1%","49.4%","15594"
"Jhoulys Chacin","- - -",".307","0.98","24.4%","37.5%","38.1%","17.6%","21.0%","43","3.75","751","1194","1945","47.2%","30.5%","22.3%","16.7%","36.5%","46.9%","2608"
"Robert Dugger","Marlins",".262","0.98","21.3%","38.9%","39.8%","9.3%","14.0%","14","3.67","222","346","568","39.5%","37.6%","22.9%","11.0%","44.0%","45.0%","19191"
"Richard Rodriguez","Pirates",".279","0.98","15.3%","41.8%","42.9%","9.5%","16.7%","46","6.34","405","757","1162","42.4%","27.6%","30.1%","17.4%","44.4%","38.3%","13549"
"Jordan Lyles","- - -",".285","0.98","18.5%","40.3%","41.3%","9.9%","15.5%","80","5.11","889","1567","2456","35.5%","36.0%","28.5%","17.6%","43.8%","38.5%","7593"
"Anibal Sanchez","Nationals",".265","0.97","22.8%","38.0%","39.2%","8.5%","11.1%","115","6.23","964","1726","2690","39.9%","34.1%","26.0%","19.0%","49.4%","31.6%","3284"
"Hector Velazquez","Red Sox",".321","0.97","21.7%","38.6%","39.8%","15.2%","10.6%","33","5.27","390","591","981","40.1%","30.5%","29.3%","23.4%","38.9%","37.7%","19341"
"Adam Ottavino","Yankees",".284","0.97","19.2%","39.7%","41.1%","9.7%","8.1%","50","6.78","454","704","1158","32.9%","36.8%","30.3%","20.4%","45.4%","34.2%","1247"
"Devin Smeltzer","Twins",".294","0.97","21.6%","38.5%","39.9%","11.9%","13.6%","15","2.76","244","488","732","47.0%","30.5%","22.5%","8.6%","50.3%","41.1%","19487"
"Lewis Thorpe","Twins",".438","0.97","31.3%","33.7%","34.9%","20.7%","10.3%","16","5.20","172","320","492","33.7%","33.7%","32.5%","18.1%","42.2%","39.8%","15906"
"Mychal Givens","Orioles",".271","0.96","22.8%","37.9%","39.3%","7.0%","22.8%","35","5.00","387","705","1092","34.9%","33.6%","31.5%","15.8%","53.4%","30.8%","10430"
"Julio Teheran","Braves",".266","0.96","20.6%","39.0%","40.4%","9.2%","11.2%","82","4.23","1155","1881","3036","39.5%","34.2%","26.3%","17.4%","43.9%","38.7%","6797"
"Jeremy Hellickson","Nationals",".309","0.96","20.6%","38.9%","40.5%","15.1%","17.0%","29","6.69","262","413","675","40.9%","26.5%","32.6%","27.3%","40.9%","31.8%","4371"
"Hansel Robles","Angels",".280","0.96","20.7%","38.8%","40.4%","6.6%","7.9%","16","1.98","389","770","1159","34.4%","43.2%","22.4%","13.0%","47.4%","39.6%","11801"
"Genesis Cabrera","Cardinals",".323","0.96","25.8%","36.4%","37.9%","4.0%","8.0%","11","4.87","135","237","372","40.3%","31.3%","28.4%","16.4%","38.8%","44.8%","17490"
"Noe Ramirez","Angels",".299","0.96","20.6%","38.9%","40.6%","14.1%","12.7%","41","5.45","386","738","1124","47.7%","30.7%","21.6%","18.2%","44.9%","36.9%","12800"
"Tony Gonsolin","Dodgers",".208","0.96","14.8%","41.7%","43.5%","10.6%","8.5%","25","5.63","269","424","693","47.3%","30.0%","22.7%","14.6%","38.2%","47.3%","19388"
"Joakim Soria","Athletics",".251","0.96","22.9%","37.7%","39.4%","8.7%","13.0%","35","4.57","380","736","1116","34.1%","35.2%","30.7%","19.3%","40.9%","39.8%","6941"
"Austin Davis","Phillies",".314","0.95","24.6%","36.8%","38.6%","0.0%","27.3%","9","3.92","151","256","407","45.6%","29.8%","24.6%","12.3%","42.1%","45.6%","17117"
"Jimmy Nelson","Brewers",".375","0.95","31.7%","33.3%","35.0%","9.5%","19.0%","10","4.09","178","230","408","41.7%","33.3%","25.0%","13.3%","46.7%","40.0%","10547"
"Wei-Yin Chen","Marlins",".350","0.95","25.1%","36.5%","38.4%","6.0%","17.9%","23","3.03","380","771","1151","37.1%","36.2%","26.7%","13.6%","42.1%","44.3%","13071"
"Sal Romano","Reds",".375","0.95","21.2%","38.5%","40.4%","4.8%","19.0%","8","4.41","120","186","306","26.9%","44.2%","28.9%","7.7%","53.9%","38.5%","13690"
"Elvis Luciano","Blue Jays",".317","0.95","21.9%","38.1%","40.0%","2.4%","9.5%","27","7.22","258","377","635","41.0%","40.0%","19.1%","8.6%","49.5%","41.9%","20632"
"Kyle Barraclough","- - -",".315","0.95","20.4%","38.8%","40.8%","5.0%","22.5%","14","3.74","277","431","708","33.7%","35.6%","30.7%","15.8%","41.6%","42.6%","13713"
"Montana DuRapau","Pirates",".434","0.95","31.6%","33.3%","35.1%","5.0%","20.0%","8","4.15","130","212","342","40.4%","42.1%","17.5%","12.3%","47.4%","40.4%","16768"
"Chris Paddack","Padres",".237","0.95","17.5%","40.2%","42.3%","11.5%","14.6%","59","3.77","694","1586","2280","41.0%","29.6%","29.4%","17.2%","40.7%","42.1%","20099"
"Matt Wisler","- - -",".341","0.95","25.2%","36.4%","38.5%","12.7%","18.2%","30","5.26","322","613","935","49.7%","26.2%","24.1%","21.4%","41.4%","37.2%","12804"
"Tyler Kinley","Marlins",".286","0.94","22.8%","37.5%","39.7%","9.3%","9.3%","31","5.66","329","537","866","45.7%","26.8%","27.5%","19.6%","47.8%","32.6%","18297"
"Andrew Miller","Cardinals",".283","0.94","23.3%","37.2%","39.5%","11.8%","21.6%","28","4.61","360","612","972","38.9%","32.1%","29.0%","16.0%","38.2%","45.8%","6785"
"Daniel Stumpf","Tigers",".345","0.94","27.5%","35.2%","37.4%","8.8%","14.7%","6","1.86","200","322","522","40.2%","29.4%","30.4%","12.0%","41.3%","46.7%","13780"
"Tyler Alexander","Tigers",".347","0.94","25.8%","36.0%","38.2%","13.2%","13.2%","30","5.03","296","622","918","39.1%","34.6%","26.3%","9.5%","49.7%","40.8%","17735"
"Domingo German","Yankees",".259","0.94","21.3%","38.1%","40.6%","11.3%","18.8%","121","7.62","761","1486","2247","47.5%","30.6%","22.0%","17.9%","40.9%","41.2%","17149"
"Glenn Sparkman","Royals",".299","0.94","23.5%","37.0%","39.5%","4.8%","16.0%","76","5.03","831","1444","2275","33.7%","36.6%","29.7%","12.3%","46.0%","41.6%","15200"
"Ken Giles","Blue Jays",".301","0.93","18.7%","39.3%","42.1%","11.1%","11.1%","13","2.21","270","540","810","35.2%","38.9%","25.9%","20.4%","41.7%","38.0%","12910"
"Eduardo Jimenez","Tigers",".314","0.93","19.4%","38.9%","41.7%","13.3%","6.7%","8","6.75","73","116","189","36.1%","36.1%","27.8%","11.1%","50.0%","38.9%","19642"
"Trevor Bauer","- - -",".287","0.93","22.0%","37.6%","40.4%","12.2%","15.3%","110","4.65","1369","2318","3687","42.0%","34.7%","23.3%","17.2%","41.5%","41.3%","12703"
"Kelvin Herrera","White Sox",".347","0.93","26.0%","35.7%","38.3%","18.6%","13.6%","21","3.68","314","594","908","42.4%","28.5%","29.1%","19.6%","51.9%","28.5%","6033"
"Dovydas Neverauskas","Pirates",".406","0.93","20.6%","38.2%","41.2%","0.0%","14.3%","5","4.82","81","131","212","50.0%","26.5%","23.5%","14.7%","41.2%","44.1%","11604"
"Jose Ruiz","White Sox",".382","0.93","22.4%","37.3%","40.3%","20.4%","11.1%","17","3.83","271","482","753","38.2%","34.6%","27.2%","23.5%","49.3%","27.2%","14552"
"David Phelps","- - -",".295","0.93","17.2%","39.8%","43.0%","7.5%","12.5%","30","7.86","252","389","641","30.1%","40.9%","29.0%","16.1%","51.6%","32.3%","6316"
"Trevor Williams","Pirates",".303","0.92","22.8%","37.1%","40.1%","10.8%","14.5%","87","5.38","811","1516","2327","40.9%","35.8%","23.3%","18.4%","48.7%","32.8%","16977"
"Tony Sipp","Nationals",".286","0.92","21.9%","37.5%","40.6%","11.5%","3.8%","20","8.57","140","223","363","46.9%","34.4%","18.8%","17.2%","54.7%","28.1%","8280"
"Rick Porcello","Red Sox",".308","0.92","20.4%","38.1%","41.5%","9.7%","13.1%","145","7.49","977","1983","2960","42.6%","35.1%","22.3%","20.1%","45.7%","34.2%","2717"
"Chris Archer","Pirates",".298","0.92","24.2%","36.3%","39.5%","7.3%","20.2%","62","4.66","774","1324","2098","38.3%","33.0%","28.7%","16.4%","43.5%","40.1%","6345"
"Ryan Borucki","Blue Jays",".500","0.92","17.9%","39.3%","42.9%","0.0%","16.7%","3","4.05","70","85","155","32.1%","53.6%","14.3%","10.7%","35.7%","53.6%","16350"
"Gerson Bautista","Mariners",".355","0.92","30.3%","33.3%","36.4%","0.0%","16.7%","3","3.00","80","117","197","51.5%","30.3%","18.2%","6.1%","54.6%","39.4%","19256"
"Travis Bergen","Giants",".264","0.91","22.8%","36.8%","40.4%","8.7%","17.4%","18","8.24","147","228","375","38.6%","33.3%","28.1%","17.5%","22.8%","59.7%","18581"
"Taylor Clarke","Diamondbacks",".260","0.91","16.8%","39.7%","43.5%","12.3%","20.2%","64","6.80","572","940","1512","42.6%","32.5%","24.9%","15.9%","45.3%","38.9%","17611"
"Mike Foltynewicz","Braves",".265","0.91","23.1%","36.7%","40.2%","12.5%","16.9%","79","6.08","661","1227","1888","46.1%","34.0%","19.9%","18.4%","41.2%","40.4%","10811"
"Jason Vargas","- - -",".276","0.91","19.1%","38.5%","42.3%","15.4%","11.2%","82","4.93","983","1522","2505","47.8%","32.7%","19.5%","18.2%","42.3%","39.5%","8044"
"Tim Collins","Cubs",".267","0.91","30.0%","33.3%","36.7%","0.0%","9.1%","1","1.04","63","97","160","45.2%","32.3%","22.6%","19.4%","45.2%","35.5%","3164"
"Luis Severino","Yankees",".250","0.91","12.5%","41.7%","45.8%","18.2%","0.0%","17","12.75","74","145","219","50.0%","41.7%","8.3%","33.3%","41.7%","25.0%","15890"
"Carlos Estevez","Rockies",".304","0.91","19.8%","38.1%","42.1%","3.5%","14.1%","45","5.63","425","815","1240","33.5%","37.4%","29.1%","14.8%","44.8%","40.4%","14542"
"Erik Swanson","Mariners",".241","0.91","20.3%","37.9%","41.8%","12.2%","23.0%","28","4.34","339","632","971","39.7%","32.4%","27.9%","10.6%","55.9%","33.5%","16587"
"Keone Kela","Pirates",".225","0.90","20.3%","37.8%","41.9%","9.7%","9.7%","12","3.64","184","320","504","44.6%","36.5%","18.9%","13.5%","59.5%","27.0%","14696"
"Jose Cisnero","Tigers",".316","0.90","21.2%","37.4%","41.4%","17.1%","12.2%","8","2.04","222","424","646","30.0%","34.0%","36.0%","16.0%","48.0%","36.0%","6399"
"James Paxton","Yankees",".313","0.90","19.1%","38.4%","42.6%","14.1%","14.1%","128","7.65","948","1717","2665","39.0%","33.1%","28.0%","17.2%","44.9%","38.0%","11828"
"Ty Blach","- - -",".404","0.90","25.5%","35.3%","39.2%","12.5%","20.0%","17","5.67","207","314","521","31.4%","37.3%","31.4%","14.7%","39.2%","46.1%","14361"
"Thyago Vieira","White Sox",".458","0.90","20.8%","37.5%","41.7%","0.0%","0.0%","7","9.00","66","103","169","41.7%","45.8%","12.5%","29.2%","37.5%","33.3%","14510"
"Rico Garcia","Rockies",".300","0.90","13.6%","40.9%","45.5%","0.0%","30.0%","3","4.50","46","53","99","34.8%","39.1%","26.1%","4.4%","43.5%","52.2%","20023"
"Matt Strahm","Padres",".311","0.90","22.5%","36.6%","40.8%","10.3%","16.2%","56","4.40","542","1247","1789","41.8%","34.7%","23.5%","17.4%","38.5%","44.1%","13799"
"Daniel Mengden","Athletics",".283","0.90","23.2%","36.3%","40.5%","10.4%","9.1%","39","5.88","403","645","1048","43.5%","34.0%","22.5%","16.2%","41.4%","42.4%","16980"
"Justin Anderson","Angels",".305","0.90","25.4%","35.2%","39.3%","14.6%","12.5%","20","3.83","377","537","914","40.3%","26.6%","33.1%","13.7%","46.8%","39.5%","16201"
"Joseph Palumbo","Rangers",".326","0.89","26.5%","34.7%","38.8%","5.3%","36.8%","9","4.86","130","203","333","52.0%","32.0%","16.0%","2.0%","44.0%","54.0%","17035"
"Michael Pineda","Twins",".292","0.89","23.3%","36.1%","40.6%","5.3%","13.5%","103","6.35","736","1542","2278","40.8%","35.6%","23.7%","12.2%","48.5%","39.3%","5372"
"Brad Peacock","Astros",".267","0.89","18.1%","38.6%","43.4%","6.5%","13.9%","59","5.79","560","950","1510","49.6%","30.8%","19.6%","14.4%","46.8%","38.8%","5401"
"Parker Markel","- - -",".333","0.89","22.7%","36.4%","40.9%","7.4%","22.2%","6","2.45","191","269","460","31.8%","39.4%","28.8%","15.2%","45.5%","39.4%","12106"
"Dominic Leone","Cardinals",".291","0.89","22.7%","36.4%","40.9%","6.7%","20.0%","23","5.09","261","421","682","35.7%","39.3%","25.0%","8.9%","44.6%","46.4%","13763"
"Kyle Bird","Rangers",".182","0.89","10.5%","42.1%","47.4%","5.6%","27.8%","4","2.84","132","145","277","44.7%","31.6%","23.7%","18.4%","39.5%","42.1%","16618"
"Trey Wingenter","Padres",".269","0.89","24.1%","35.7%","40.2%","11.1%","11.1%","22","3.88","333","573","906","38.9%","34.5%","26.6%","18.6%","41.6%","39.8%","17793"
"Matthew Festa","Mariners",".246","0.89","19.0%","38.1%","42.9%","14.8%","18.5%","3","1.21","154","253","407","41.5%","41.5%","16.9%","18.5%","46.2%","35.4%","19330"
